[Tue Dec 01 22:39:17] XP Gained: XP_DM:amaryllis | NewbieWithA Bio | newblord | 1500 | 2500
[Tue Dec 01 22:50:17] XP Gained: XP_ZOMBIE | NewbieWithA Bio | newblord | 2 | 2502
[Tue Dec 01 22:50:17] XP Gained: XP_ZOMBIE | Elijah Whitehallow | Prestige | 2 | 100223
[Tue Dec 01 22:50:18] XP Gained: XP_ZOMBIE | Elijah Whitehallow | Prestige | 2 | 100225
[Tue Dec 01 22:50:19] XP Gained: XP_ZOMBIE | Elijah Whitehallow | Prestige | 2 | 100227
[Tue Dec 01 22:50:30] XP Gained: XP_ZOMBIE | Elijah Whitehallow | Prestige | 2 | 100229
[Tue Dec 01 22:50:31] XP Gained: XP_ZOMBIE | Elijah Whitehallow | Prestige | 2 | 100231
[Tue Dec 01 22:50:32] XP Gained: XP_ZOMBIE | Elijah Whitehallow | Prestige | 2 | 100233
[Tue Dec 01 22:50:33] XP Gained: XP_ZOMBIE | Elijah Whitehallow | Prestige | 2 | 100235
[Tue Dec 01 22:50:40] XP Gained: XP_ZOMBIE | Durnan Willows | Mydrral Solo | 2 | 8965
[Tue Dec 01 22:50:42] XP Gained: XP_ZOMBIE | Elijah Whitehallow | Prestige | 2 | 100237
[Tue Dec 01 22:50:42] XP Gained: XP_ZOMBIE | Elijah Whitehallow | Prestige | 100 | 100337
[Tue Dec 01 22:50:44] XP Gained: XP_ZOMBIE | Durnan Willows | Mydrral Solo | 2 | 8967
[Tue Dec 01 22:52:01] XP Gained: XP_ZOMBIE | Vega Wolfe | Naiatis | 2 | 5050
[Tue Dec 01 22:54:17] XP Gained: XP_RP | NewbieWithA Bio | newblord | 15 | 2517
[Tue Dec 01 22:55:17] XP Gained: XP_ZOMBIE | NewbieWithA Bio | newblord | 2 | 2519
[Tue Dec 01 22:56:17] XP Gained: XP_ZOMBIE | NewbieWithA Bio | newblord | 2 | 2521
[Tue Dec 01 22:57:17] XP Gained: XP_ZOMBIE | NewbieWithA Bio | newblord | 2 | 2523
[Tue Dec 01 22:57:50] XP Gained: XP_RP | Durnan Willows | Mydrral Solo | 15 | 8982
[Tue Dec 01 22:57:50] XP Gained: XP_RP | Elijah Whitehallow | Prestige | 15 | 100352
[Tue Dec 01 22:58:17] XP Gained: XP_BOSS | Durnan Willows | Mydrral Solo | 100 | 9082
[Tue Dec 01 22:58:17] XP Gained: XP_BOSS | Elijah Whitehallow | Prestige | 100 | 100452
[Tue Dec 01 22:59:17] XP Gained: XP_RP | NewbieWithA Bio | newblord | 15 | 2517
[Tue Dec 01 23:01:17] XP Gained: XP_PROFESSION | NewbieWithA Bio | newblord | 10 | 2533
[Tue Dec 01 23:02:17] XP Gained: XP_ZOMBIE | NewbieWithA Bio | newblord | 2 | 2535
[Tue Dec 01 23:09:17] XP Gained: XP_RP | NewbieWithA Bio | newblord | 15 | 2548
[Tue Dec 01 23:18:17] XP Gained: XP_RP | Seth Notteel | Tweek | 15 | 4673
[Tue Dec 02 01:09:17] XP Gained: XP_BADGE | NewbieWithA Bio | newblord | 50 | 2598
[Tue Dec 02 01:32:17] XP Gained: XP_CRAFTING | NewbieWithA Bio | newblord | 10 | 2608
[Tue Dec 02 03:39:17] XP Gained: XP_DM:Old Testament Tam | Durnan Willows | Mydrral Solo | 100 | 9182
[Tue Dec 02 05:17:17] XP Gained: XP_LOGOUT | Vega Wolfe | Naiatis | 7050 | 7050
[Tue Dec 02 05:17:17] XP Gained: XP_RP | Xunae Ryl'ntar | amaryllis | 15 | 8304
